Round,Round name,Round description,Song,Artist,Album,Song votes,Song voters,Song rank,Song person submitted,Song person submitted comment,Votes and comments
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,"Marina
6
ThenerB
Bonus points for your specificity!
5
rena :)
5
JustRimmey
3
Sjr
3
JacAttac
2
Matthew J. Hobbs
2
HippyHippyShake
2
Tatami
2
JJdaPanda
1
Heavy Metal Zebra
1
Terry L.
1
Duncan Moreland
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Never Gonna Give You Up,Rick Astley,Whenever You Need Somebod,30,12,2nd,Sjr,1987,"Mooly
5
rena :)
4
Heavy Metal Zebra
3
N2N0
3
Matthew J. Hobbs
3
Terry L.
3
JJdaPanda
2
ThenerB
2
JacAttac
2
Tatami
1
Duncan Moreland
1
JustRimmey
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Editi,29,13,3rd,HippyHippyShake,Born is 1985 and this song is STILL a favorite of mine.,"Mooly
5
N2N0
3
Terry L.
3
Sjr
2
Heavy Metal Zebra
2
JJdaPanda
2
rena :)
2
JustRimmey
2
JacAttac
2
Tatami
2
ThenerB
2
Marina
1
Duncan Moreland
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Kiss,Prince,Parade - Music from the Motion Picture Under the Cherr,27,13,4th,ThenerB,😘,"HippyHippyShake
4
Mooly
4
Sjr
2
N2N0
2
rena :)
2
JustRimmey
2
Heavy Metal Zebra
2
JJdaPanda
2
Tatami
2
Duncan Moreland
2
Matthew J. Hobbs
1
JacAttac
1
Terry L.
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Welcome To The Jungle,Guns N' Roses,Appetite For Destructi,26,12,5th,Mooly,"You know where you are? You're in the jungle, baby!","
Hell yeah, bruther
rena :)
5
Heavy Metal Zebra
3
Duncan Moreland
3
Terry L.
3
JJdaPanda
2
N2N0
2
JacAttac
2
Matthew J. Hobbs
2
Tatami
1
Sjr
1
JustRimmey
1
Marina
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Without Me,Eminem,The Eminem Show,25,14,6th,rena :),2002 ⭐️,"HippyHippyShake
4
Heavy Metal Zebra
3
Tatami
2
Duncan Moreland
2
Marina
2
JustRimmey
2
Mooly
2
Terry L.
2
JJdaPanda
1
N2N0
1
JacAttac
1
Matthew J. Hobbs
1
Sjr
1
ThenerB
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Pepper,Butthole Surfers,Electriclarryland,24,9,7th,Marina,1996,"Mooly
5
JustRimmey
4
Duncan Moreland
My dad went to school with these guys
3
ThenerB
3
Matthew J. Hobbs
3
Tatami
2
Sjr
2
JJdaPanda
1
JacAttac
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Kung Fu Fighting,Carl Douglas,Kung Fu Fighter,22,13,8th,Matthew J. Hobbs,,"Marina
3
N2N0
3
JJdaPanda
3
JustRimmey
2
JacAttac
2
Terry L.
2
Heavy Metal Zebra
1
Tatami
1
Duncan Moreland
1
ThenerB
1
rena :)
1
Mooly
1
Sjr
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),When Doves Cry,Prince,Purple Rai,22,12,9th,JustRimmey,"April, 1984","HippyHippyShake
4
Tatami
2
Sjr
2
Duncan Moreland
2
JacAttac
2
Matthew J. Hobbs
2
Terry L.
2
Marina
2
JJdaPanda
1
Heavy Metal Zebra
1
N2N0
1
ThenerB
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Torn,Natalie Imbruglia,Left Of The Middle,20,12,10th,JacAttac,97,"ThenerB
3
HippyHippyShake
2
Tatami
2
Sjr
2
JustRimmey
2
Matthew J. Hobbs
2
Terry L.
2
JJdaPanda
1
Heavy Metal Zebra
1
N2N0
1
rena :)
1
Marina
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Dirty Diana,Michael Jackson,Number One,15,8,11th,Tatami,,"JJdaPanda
2
Heavy Metal Zebra
2
HippyHippyShake
2
Duncan Moreland
Michael Jackson the experience dancing game
2
rena :)
2
JacAttac
2
Terry L.
2
Sjr
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Where Is The Love?,Black Eyed Peas,Elephunk,13,8,12th,JJdaPanda,2003,"Matthew J. Hobbs
3
N2N0
2
rena :)
2
JacAttac
2
Heavy Metal Zebra
1
Tatami
1
Sjr
1
Duncan Moreland
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Born to Run,Bruce Springsteen,Born To Ru,12,8,13th,Terry L.,1975,"N2N0
3
Matthew J. Hobbs
3
JJdaPanda
1
Heavy Metal Zebra
1
Tatami
1
Sjr
1
JacAttac
1
Marina
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),505,Arctic Monkeys,Favourite Worst Nightmare (Standard Versi,10,7,14th,Duncan Moreland,,"N2N0
2
JacAttac
2
Marina
2
JJdaPanda
1
Tatami
1
Sjr
1
ThenerB
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Lambada - Original Version 1989,Kaoma,Lambada - Les originaux No. 1 de l'été (Original 1989,8,6,15th,Heavy Metal Zebra,,"Duncan Moreland
2
Marina
2
JJdaPanda
1
Tatami
1
Sjr
1
ThenerB
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),"So Fresh, So Clean",Outkast,Stankonia,24 0,11,16th,EJ Gunter,Did not vote,"HippyHippyShake
6
JustRimmey
3
Marina
3
Tatami
2
Duncan Moreland
2
ThenerB
2
Mooly
2
JJdaPanda
1
Heavy Metal Zebra
1
Sjr
1
JacAttac
1"
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),We Built This City,Starship,Knee Deep In The Hoopla,19 0,11,17th,Kate Booth,Did not vote,"#1 the day I was born 😃
Terry L.
3
JJdaPanda
2
Heavy Metal Zebra
2
Sjr
2
ThenerB
2
JustRimmey
2
Matthew J. Hobbs
2
Tatami
1
N2N0
1
Duncan Moreland
1
JacAttac
1""
https://app.musicleague.com/l/fe4049a5bec34a9892e2fd5135a35ad3/33e1aa10943b48f29efad83a0fd600ae/,""OPEN"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Edge of Seventeen,Stevie Nicks,Crystal Visions...The Very Best of Stevie Nick,48,16,1st,Dina B,,"Marina
6
Mooly
5
HippyHippyShake
5
EJ Gunter
Valid choice🤞🏾
5
Matthew J. Hobbs
5
N2N0
4
Kate Booth
3
Terry L.
3
rena :)
3
Heavy Metal Zebra
2
Tatami
2
JJdaPanda
1
Sjr
1
Duncan Moreland
1
ThenerB
Well played 
1
JustRimmey
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Crazy Train,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Editi,35,15,2nd,Matthew J. Hobbs,,"rena :)
6
Duncan Moreland
4
Heavy Metal Zebra
4
Dina B
3
Terry L.
3
Sjr
2
Tatami
2
EJ Gunter
2
Marina
2
Mooly
2
JJdaPanda
1
Kate Booth
1
JustRimmey
1
ThenerB
1
N2N0
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Doo Wop (That Thing),Ms. Lauryn Hill,The Miseducation of Lauryn Hill,35,15,3rd,Kate Booth,,"HippyHippyShake
5
Matthew J. Hobbs
4
EJ Gunter
4
JustRimmey
3
Sjr
3
ThenerB
Omg The Fugees, didn’t even think about it! Great pick 
3
Terry L.
2
Tatami
2
Dina B
2
Marina
2
JJdaPanda
1
Heavy Metal Zebra
1
rena :)
1
N2N0
1
Duncan Moreland
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Edit,33,14,4th,JustRimmey,Started in Genesis,"Heavy Metal Zebra
5
Mooly
5
Matthew J. Hobbs
4
Terry L.
3
N2N0
3
EJ Gunter
3
Tatami
2
Kate Booth
2
JJdaPanda
1
rena :)
1
ThenerB
1
Duncan Moreland
1
Dina B
1
Sjr
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Them Changes,Thundercat,Drunk,28,12,5th,Tatami,,"Marina
5
Kate Booth
4
HippyHippyShake
3
Duncan Moreland
3
EJ Gunter
3
Dina B
2
JustRimmey
2
Mooly
2
JJdaPanda
1
Heavy Metal Zebra
1
Sjr
1
ThenerB
Cool!
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Sledgehammer - 2012 Remaster,Peter Gabriel,So (25th Anniversary Deluxe Editi,28,12,6th,N2N0,,"Mooly
5
Kate Booth
3
Heavy Metal Zebra
3
JustRimmey
God those horns are glorious!!
3
Terry L.
3
Tatami
2
Sjr
2
Duncan Moreland
2
Matthew J. Hobbs
2
JJdaPanda
1
Dina B
1
ThenerB
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Beat It,Michael Jackson,Thriller,27,12,7th,Sjr,,"Heavy Metal Zebra
4
Duncan Moreland
4
HippyHippyShake
3
Matthew J. Hobbs
3
Terry L.
3
Tatami
2
Mooly
2
EJ Gunter
2
JJdaPanda
1
Dina B
1
ThenerB
Didn’t even think of MJ, well played 
1
Marina
1"
