Round,Round name,Round description,Song,Artist,Album,Song votes,Song voters,Song rank,Song person submitted,Song person submitted comment,person who voted,person who voted - vote,person who voted - comment
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,Marina,6,
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,ThenerB,5,Bonus points for your specificity!
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,rena :),5,
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,JustRimmey,3,
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,Sjr,3,
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,JacAttac,2,
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,Matthew J. Hobbs,2,
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,HippyHippyShake,2,
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,Tatami,2,
10,happy birthday to youuuu,songs from the year you were born !! (maybe even the same month if you wanna deep dive that far),Own Worst Enemy,Lit,A Place In The Su,34,13,1st,N2N0,This was released exacrly on the day I was born,JJdaPanda,1,
